id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,file_size,token_count,coverage
PG18737,Argelaga florida,"Roig i Raventós, Josep",1883.0,1966.0,['ca'],3.0,"{'Short stories', 'Fiction'}",Text,162.39,31416.0,0.9737394957983193
PG36231,L'Abrandament,"Soldevila, Carles",1891.0,1967.0,['ca'],6.0,{'Fiction'},Text,117.34,21317.0,0.9870056762208566
PG52673,Els habitants de la lluna,"Morató, Joseph",1875.0,1918.0,['ca'],5.0,{'Catalan fiction'},Text,119.65,23722.0,0.9354185987690751
PG24729,Paulina Buxareu,"Sagarra, Josep Maria de",1894.0,1961.0,['ca'],2.0,{'Fiction'},Text,234.2,44156.0,0.9833544705136334
PG20253,Llibre D'històries,"Casellas, Raimón",1855.0,1910.0,['ca'],8.0,{'Catalan literature'},Text,125.09,23386.0,0.9834516377319764
PG27142,Contes D'Andersen,"Andersen, H. C. (Hans Christian)",1805.0,1875.0,['ca'],19.0,"{""Children's stories, Danish -- Translations into Catalan"", 'Fairy tales -- Denmark'}",Text,178.12,34169.0,0.9853083204073868
PG23021,"Sang Nova: Novel, la muntanyenca (Volumes 1 and 2)","Vayreda, Marià",1853.0,1903.0,['ca'],11.0,{'Fiction'},Text,473.6,88207.0,0.9807611640799483
PG17219,La creació d'Eva i altres contes,"Carner, Josep",1884.0,1971.0,['ca'],8.0,{'Fiction'},Text,124.74,23273.0,0.9815236540196794
PG34249,Los Cent Conçeyls del Conçeyl de Cent,"Gener, Pompeyo",1848.0,1920.0,['ca'],3.0,"{'Proverbs, Catalan'}",Text,27.92,5436.0,0.9107799852832965
PG26502,Tres Anglesos S'esbargeixen,"Jerome, Jerome K. (Jerome Klapka)",1859.0,1927.0,['ca'],8.0,"{'British -- Germany -- Fiction', 'Humorous stories', 'Black Forest (Germany) -- Fiction'}",Text,311.82,59423.0,0.9909462665971088
PG20658,En Pere i altres contes,"Planas i Font, Claudi",,,['ca'],11.0,{'Short stories'},Text,153.39,29849.0,0.9752755536198867
PG29944,Tres Homes Dins D'una Barca (Sense comptar-hi el gos),"Jerome, Jerome K. (Jerome Klapka)",1859.0,1927.0,['ca'],17.0,"{'Humorous stories, English', 'Young men -- Travel -- England -- Thames River -- Fiction', 'Male friendship -- Fiction', 'Boats and boating -- England -- Thames River -- Fiction', 'Dogs -- Fiction', 'Thames River (England) -- Fiction'}",Text,313.79,58967.0,0.9890786372038598
PG22296,Un tros de paper: Two Volumes,,,,['ca'],4.0,{'Catalan language -- Texts'},Text,290.04,57884.0,0.9861274272683298
PG15346,"Pinya de Rosa. Volume 1, Books 1-3","Ruyra, Joaquín",1858.0,1939.0,['ca'],4.0,{'Fiction'},Text,189.21,35999.0,0.969110253062585
PG56856,L'auca del senyor Esteve: ab redolins dibuixats per en Ramón Casas; escrits per en Gabriel Alomar,"Rusiñol, Santiago",,,['ca'],30.0,set(),Text,235.01,47299.0,0.9850736802046555
PG32691,El Tresor del Vell Cavaller,Erckmann-Chatrian,,,['ca'],8.0,"{'Werewolves -- Fiction', 'Treasure troves -- Fiction'}",Text,224.77,42713.0,0.9715309156462903
PG17819,L'amic Fritz,Erckmann-Chatrian,,,['ca'],6.0,{'France -- History -- 19th century -- Fiction'},Text,293.71,56152.0,0.9725210143895142
PG52409,Visions & Cants,"Maragall, Joan",1860.0,1911.0,['ca'],5.0,{'Catalan poetry'},Text,30.0,6287.0,0.9739144265945602
PG27536,El Marxant de Venecia,"Shakespeare, William",1564.0,1616.0,['ca'],9.0,"{'Moneylenders -- Drama', 'Jews -- Italy -- Drama', 'Comedies', 'Venice (Italy) -- Drama'}",Text,119.13,22634.0,0.9486171246796854
PG30890,Les Aventures De Tom Sawyer,"Twain, Mark",1835.0,1910.0,['ca'],31.0,"{'Male friendship -- Fiction', 'Bildungsromans', 'Runaway children -- Fiction', 'Humorous stories', 'Missouri -- Fiction', 'Child witnesses -- Fiction', 'Boys -- Fiction', 'Adventure stories', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Mississippi River Valley -- Fiction'}",Text,357.52,68172.0,0.9838790119110485
PG35817,Tradicions religiosas de Catalunya,"Valldaura, Agna de",1854.0,1930.0,['ca'],7.0,"{'Catalonia (Spain) -- Religion', 'Folklore -- Spain -- Catalonia'}",Text,93.09,18156.0,0.9130865829477859
PG22045,La festa dels reis: Lo que vulgueu,"Shakespeare, William",1564.0,1616.0,['ca'],7.0,"{'Illyria -- Drama', 'Shipwreck survival -- Drama', 'Mistaken identity -- Drama', 'Brothers and sisters -- Drama', 'Twins -- Drama', 'Comedies'}",Text,108.05,20812.0,0.95862963674803
PG17583,Els Herois,"Bertrana, Prudenci",1867.0,1941.0,['ca'],8.0,{'Fiction'},Text,147.39,26804.0,0.9618713624832115
PG15347,"Pinya de Rosa. Volume 2, Book 4","Ruyra, Joaquín",1858.0,1939.0,['ca'],1.0,{'Fiction'},Text,281.83,54624.0,0.9616468951376684
PG17410,Ànimes atuïdes,"Roig i Raventós, Josep",1883.0,1966.0,['ca'],5.0,"{'Short stories', 'Fiction'}",Text,216.58,42168.0,0.9753130335799659
PG25443,Arran del Cingle,"Morató, Joseph",1875.0,1918.0,['ca'],2.0,{'Catalan fiction'},Text,164.28,32624.0,0.9786047081902893
PG18198,Els camins del paradís perdut,"Riber, Llorenç",1881.0,1958.0,['ca'],3.0,{'Fiction'},Text,149.88,28778.0,0.9688998540551811
PG56866,Enllà: Poesies,"Maragall, Joan",1860.0,1911.0,['ca'],10.0,{'Catalan poetry'},Text,24.56,4995.0,0.974974974974975
PG14816,La Mare-Balena,"Català, Víctor",1869.0,1966.0,['ca'],8.0,{'Short stories'},Text,109.97,21159.0,0.9716905335790916
PG14768,La Parada,"Ruyra, Joaquín",1858.0,1939.0,['ca'],6.0,{'Fiction'},Text,247.07,46616.0,0.964561523940278
PG17046,Les alegres comares de Windsor,"Shakespeare, William",1564.0,1616.0,['ca'],10.0,"{'Married women -- Drama', 'Windsor (Berkshire, England) -- Drama', 'Falstaff, John, Sir (Fictitious character) -- Drama', 'Comedies'}",Text,129.33,24358.0,0.9509811971426225
PG19664,"Els Deu Mil: And Vida D'artaxerxes, Per Plutarc",Xenophon,-431.0,-355.0,['ca'],17.0,"{'Iran -- History -- To 640', 'Cyrus, the Younger, approximately 423 B.C.-401 B.C.', 'Greece -- History -- Expedition of Cyrus, 401 B.C.', 'Artaxerxes I, King of Persia, -425 B.C. or 424 B.C.'}",Text,403.8,76923.0,0.9801749801749802
PG10686,Tine,"Bang, Herman",1857.0,1912.0,['da'],25.0,"{'Schleswig-Holstein War, 1864 -- Fiction', 'War stories'}",Text,242.18,46324.0,0.9557464813055867
PG44275,Fru Marie Grubbe: Interieurer fra det syttende Aarhundrede,"Jacobsen, J. P. (Jens Peter)",1847.0,1885.0,['da'],10.0,"{'Grubbe, Marie, approximately 1640-1718 -- Fiction', 'Women -- Denmark -- Fiction', 'Biographical fiction', 'Denmark -- History -- 17th century -- Fiction'}",Text,397.82,73830.0,0.9622646620614926
PG2143,"Bibelen, Det nye Testamente",,,,['da'],21.0,{'Bible. New Testament'},Text,855.78,166853.0,0.9955050253816233
PG43338,Isblink: Digte fra den grønlandske Polarregion,"Erichsen, L. Mylius (Ludvig Mylius)",1872.0,1907.0,['da'],10.0,{'Greenland -- Poetry'},Text,131.52,24780.0,0.9655367231638418
PG13599,Ambrosius,"Molbech, Chr. K. F. (Christian Knud Frederik)",1821.0,1888.0,['da'],5.0,{'Danish drama'},Text,132.64,25644.0,0.9786694743409764
PG39507,Støv og Stjærner,"Hjortø, Knud",1869.0,1931.0,['da'],8.0,{'Danish fiction'},Text,240.18,44485.0,0.9797684612790828
PG43899,Et Ægteskabs Historie: En Virkelighedsskildring,"Østergaard, Vilhelm",1852.0,1928.0,['da'],3.0,{'Danish fiction'},Text,331.47,61100.0,0.9873813420621931
PG24447,En Nihilist,"Stepniak, S.",1851.0,1895.0,['da'],16.0,{'Nihilism -- Fiction'},Text,391.15,71178.0,0.9873134957430667
PG12698,Stuk,"Bang, Herman",1857.0,1912.0,['da'],17.0,{'Copenhagen (Denmark) -- Fiction'},Text,405.32,73183.0,0.9710998455925557
PG34786,Fra Færø: Fire Fortællinger,"Sørensen, Carl",1875.0,,['da'],6.0,{'Danish literature'},Text,150.43,29010.0,0.9874181316787315
PG41277,Germanernes Lærling,"Gjellerup, Karl",1857.0,1919.0,['da'],7.0,{'Fiction'},Text,539.91,97174.0,0.9641364974170046
PG41786,Maria: En Bog om Kærlighed,"Nansen, Peter",1861.0,1918.0,['da'],7.0,{'Danish fiction'},Text,88.77,16409.0,0.9809860442440125
PG9843,Fra det moderne Frankrig,"Kaufmann, Richard",1846.0,1894.0,['da'],13.0,{'France -- Description and travel'},Text,635.29,107588.0,0.9619102502137785
PG48962,Anno 7603: Skuespil i 6 Acter,"Wessel, Johan Herman",1742.0,1785.0,['da'],16.0,{'Drama'},Text,70.75,12851.0,0.965605789432729
PG12339,Hendes Højhed,"Bang, Herman",1857.0,1912.0,['da'],10.0,{'Danish fiction'},Text,94.99,16540.0,0.9634824667472793
PG35102,Udvalgte Digtninger,"Heiberg, J. L. (Johan Ludvig)",1791.0,1860.0,['da'],9.0,{'Danish poetry'},Text,247.46,47301.0,0.9752225111519841
PG41956,Hans Råskov,"Hjortø, Knud",1869.0,1931.0,['da'],12.0,{'Danish fiction'},Text,302.69,58276.0,0.9889319788592217
PG36942,Kongens Fald,"Jensen, Johannes V. (Johannes Vilhelm)",1873.0,1950.0,['da'],65.0,"{'Denmark -- History -- 1448-1660 -- Fiction', 'Christian II, King of Denmark, Norway, and Sweden, 1481-1559 -- Fiction'}",Text,373.8,69916.0,0.9786315006579324
PG43295,Guds Fred,"Nansen, Peter",1861.0,1918.0,['da'],6.0,{'Danish fiction'},Text,144.15,26429.0,0.9786976427409285
PG34213,Kort og sandfærdig Beretning om den vidtudraabte Besættelse udi Thisted,Árni Magnússon,1663.0,1730.0,['da'],10.0,{'Trials (Witchcraft) -- Denmark'},Text,115.23,20242.0,0.9777689951585812
PG41072,"Leonora Christina Ulfeldt's ""Jammers-minde"". En egenhændig skiedring of hendes fangenskab i Blaataarn i aarene 1663-1685","Ulfeldt, Leonora Christina, grevinde",1621.0,1698.0,['da'],24.0,"{'Ulfeldt, Leonora Christina, grevinde, 1621-1698'}",Text,478.92,87640.0,0.9043359196713829
PG46335,Mit liv og levned som jeg selv har forstaaet det,"Fibiger, J. (Johannes)",1821.0,1897.0,['da'],8.0,"{'Fibiger, J. (Johannes), 1821-1897'}",Text,681.91,123498.0,0.9803235679930039
PG12117,Excentriske Noveller,"Bang, Herman",1857.0,1912.0,['da'],11.0,{'Fiction'},Text,115.4,21580.0,0.9636700648748842
PG12831,Det hvide Hus,"Bang, Herman",1857.0,1912.0,['da'],10.0,{'Danish fiction'},Text,119.72,22338.0,0.9808398245142806
PG34103,Korvetten Heimdals Togt til de vestindiske Farvande i Aarene 1861 & 1862,"Holm, Jacob",,,['da'],7.0,{'Heimdal (Ship)'},Text,197.92,33723.0,0.9679743795036029
PG32865,En adelig Opdager,"Marsh, Richard",1857.0,1915.0,['da'],8.0,"{'Detective and mystery stories', 'Short stories', 'Champnell, Augustus (Fictitious character) -- Fiction'}",Text,107.53,19667.0,0.9867798850866935
PG32366,Et Aar,"Nielsen, Antonius",1894.0,,['da'],9.0,{'Fiction'},Text,184.65,35964.0,0.9723890557223891
PG43781,Bjørneæt: Nationalhistorisk Roman,"Etlar, Carit",1816.0,1900.0,['da'],6.0,{'Danish fiction'},Text,421.37,73335.0,0.960141814958751
PG33360,Kaptajnen paa 15 Aar (I Slavelænker),"Verne, Jules",1828.0,1905.0,['da'],16.0,"{'Cooks -- Fiction', 'Slaves -- Fiction', 'Ship captains -- Fiction', 'Whales -- Fiction', 'Voyages and travels -- Fiction', 'Sailors -- Fiction', 'Adventure stories'}",Text,191.31,34351.0,0.9842508223923612
PG46278,Fra Mindebo: Jyske Folkeæventyr,"Kristensen, Evald Tang",1843.0,1929.0,['da'],14.0,"{'Folklore -- Denmark -- Jutland', 'Folk literature, Danish -- Denmark -- Jutland'}",Text,201.29,41879.0,0.9861983332935361
PG13175,Ved Vejen,"Bang, Herman",1857.0,1912.0,['da'],30.0,"{'Women -- Fiction', 'Love stories', 'Man-woman relationships -- Fiction', 'Denmark -- Fiction'}",Text,201.75,37961.0,0.9801638523748057
PG41045,To verdener,"Hjortø, Knud",1869.0,1931.0,['da'],8.0,{'Danish fiction'},Text,256.64,49545.0,0.9910182662226259
PG10829,Ludvigsbakke,"Bang, Herman",1857.0,1912.0,['da'],11.0,"{'Nurses -- Fiction', 'Man-woman relationships -- Fiction', 'Young women -- Fiction'}",Text,384.41,72764.0,0.9802924523115827
PG34747,Under Nordenvindens Svøbe,"Rasmussen, Knud",1879.0,1933.0,['da'],23.0,"{'Rasmussen, Knud, 1879-1933', 'Litteraere expeditionen til Vest-Grønland, 1902-1904', 'Polar regions', 'Polar regions -- Folklore', 'Eskimos -- Greenland', 'Greenland -- Discovery and exploration -- Danish'}",Text,288.77,54165.0,0.9688544262900397
